name,lr,schedule,pos_weight,r,epoch,val_auroc,val_f1,test_vlm_F1,test_vlm_F2,test_vlm_Acc,test_fus_F1,test_fus_F2,fus_beta,test_sat0
lr1e-04_constant_pw1_r8,0.0001,constant,1.0,8,1,0.9278,0.7741,0.4817,0.6661,0.6000,0.5521,0.6728,0.84,0.002
lr1e-04_constant_pw1_r8,0.0001,constant,1.0,8,2,0.9831,0.8559,0.3381,0.2835,0.7247,0.5681,0.6693,0.73,0.734
lr1e-04_constant_pwbal_r8,0.0001,constant,balanced,8,1,0.9143,0.7586,0.5512,0.6779,0.7357,0.6131,0.6758,0.60,0.002
lr1e-04_constant_pwbal_r8,0.0001,constant,balanced,8,2,0.9842,0.9094,0.4864,0.4278,0.7692,0.5698,0.6689,0.58,0.201
lr1e-04_cosine_pw1_r8,0.0001,cosine,1.0,8,1,0.9403,0.8083,0.5858,0.6877,0.7360,0.6135,0.7040,0.58,0.000
lr1e-04_cosine_pw1_r8,0.0001,cosine,1.0,8,2,0.9984,0.9756,0.5764,0.5188,0.8031,0.5987,0.6675,0.54,0.429
lr1e-04_cosine_pwbal_r8,0.0001,cosine,balanced,8,1,0.9117,0.7194,0.6735,0.6753,0.8260,0.6752,0.7451,0.31,0.000
lr1e-04_cosine_pwbal_r8,0.0001,cosine,balanced,8,2,0.9909,0.9449,0.6262,0.7109,0.7649,0.6379,0.7145,0.49,0.271
lr2e-04_constant_pw1_r8,0.0002,constant,1.0,8,1,0.5773,0.4053,0.5116,0.5226,0.7206,0.5698,0.6656,0.52,0.000
lr2e-04_constant_pw1_r8,0.0002,constant,1.0,8,2,0.7086,0.0000,0.0000,0.0000,0.7238,0.5773,0.6618,0.45,0.000
lr2e-04_constant_pwbal_r8,0.0002,constant,balanced,8,1,0.4367,0.3947,0.4329,0.6561,0.2762,0.5727,0.6651,0.52,0.000
lr2e-04_constant_pwbal_r8,0.0002,constant,balanced,8,2,0.4858,0.0000,0.0000,0.0000,0.7238,0.5725,0.6684,0.42,0.000
lr2e-04_cosine_pw1_r8,0.0002,cosine,1.0,8,1,0.6187,0.3947,0.4329,0.6561,0.2762,0.5844,0.6655,0.25,0.000
lr2e-04_cosine_pw1_r8,0.0002,cosine,1.0,8,2,0.7274,0.5045,0.6439,0.6850,0.7794,0.6428,0.7305,0.14,0.000
lr2e-04_cosine_pwbal_r8,0.0002,cosine,balanced,8,1,0.6291,0.4220,0.4659,0.6708,0.3955,0.6154,0.7140,0.11,0.000
lr2e-04_cosine_pwbal_r8,0.0002,cosine,balanced,8,2,0.6634,0.4760,0.6439,0.6889,0.7794,0.6612,0.7258,0.10,0.000
