name,lr,r,alpha,dropout,modules,epochs,pos_weight,accum,F1@0.5,Acc@0.5,Prec@0.5,Rec@0.5,bestF1,bestF1_thr,bestF2,bestF2_thr,fusF1,fusF1_beta,fusF2,fusF2_beta
baseline,0.0002,16,32,0.05,all,3,1.0,1,0.000,0.723,0.000,0.000,0.433,0.050,0.657,0.050,0.596,0.30,0.701,0.05
lr1e-4,0.0001,16,32,0.05,all,3,1.0,1,0.000,0.723,0.000,0.000,0.667,0.175,0.752,0.100,0.667,0.00,0.759,0.35
lr3e-4,0.0003,16,32,0.05,all,3,1.0,1,0.000,0.723,0.000,0.000,0.000,0.050,0.000,0.050,0.594,0.85,0.678,0.95
r8,0.0002,8,16,0.05,all,3,1.0,1,0.061,0.732,1.000,0.032,0.594,0.275,0.683,0.150,0.609,0.30,0.696,0.05
r32,0.0002,32,64,0.05,all,3,1.0,1,0.594,0.797,0.664,0.538,0.626,0.150,0.739,0.125,0.639,0.15,0.739,0.00
dropout0.1,0.0002,16,32,0.1,all,3,1.0,1,0.000,0.723,0.000,0.000,0.437,0.275,0.657,0.050,0.598,0.35,0.702,0.10
attn_only,0.0002,16,32,0.05,attn,3,1.0,1,0.000,0.723,0.000,0.000,0.138,0.050,0.093,0.050,0.599,0.20,0.683,0.70
classweight,0.0002,16,32,0.05,all,3,balanced,1,0.433,0.277,0.277,1.000,0.435,0.525,0.657,0.050,0.594,0.90,0.694,0.20
accum4,0.0002,16,32,0.05,all,3,1.0,4,0.580,0.802,0.703,0.494,0.622,0.325,0.719,0.225,0.635,0.20,0.740,0.10
reg_balanced,0.0001,8,16,0.1,all,3,balanced,1,0.648,0.739,0.517,0.867,0.686,0.625,0.764,0.450,0.689,0.10,0.768,0.30
